text@tt1991m	@tt1991m	955.495	957.51	Эээ / просто вылетел из школы //
text@tt1991m	@tt1991m	959.02	959.53	Да //
text@tt1991m	@tt1991m	961.52	964.42	Потому что я понял что / я всё сам сделаю //
text@tt1991m	@tt1991m	967.27	968.67	Были //
text@tt1991m	@tt1991m	968.71	973.0	Ну я ж из дома ушел тада и я жил у подруги типа / вот год тада //
text@tt1991m	@tt1991m	973.045	975.265	А у подруги было типа двадцать пять лет //
text@tt1991m	@tt1991m	976.765	981.095	Да / она вообще девчонка была на плэйбой ковере в это время #смех# тоже такая //
text@tt1991m	@tt1991m	983.47	985.69	Она мне пришла на тренировку танцы //
text@tt1991m	@tt1991m	987.745	990.775	Да / да / я давал уроки мне было шестнадцать //
text@tt1991m	@tt1991m	995.405	995.715	Да //
text@tt1991m	@tt1991m	997.205	998.6	#смех#
text@tt1991m	@tt1991m	1006.62	1009.34	Танцую пять часов получишь двадцать пять евро что-то такое //
text@tt1991m	@tt1991m	1009.4	1013.64	Еще го-го дэнс есть / тебя берут типа на го-го дэнс я один раз был //
text@tt1991m	@tt1991m	1013.78	1015.3	Ты типа / ну да //
text@tt1991m	@tt1991m	1016.465	1025.445	Ну / я был один раз ну не в трусах ну в большинстве эти люди делают как в трусах да как Тупак знаете фотку Тупака знаете где он в трусиках //
text@tt1991m	@tt1991m	1025.535	1026.835	Вот типа что-то такое //
text@tt1991m	@tt1991m	1026.875	1035.37	Ну это как бы вид выживания / у танцоров / тебе другой возможности нет и ты такой бери это / хочешь такой да нет ну и не будешь кушать //
text@nr1986m	@nr1986m	658.495	659.725	И пригласила приехать ? //
text@nr1986m	@nr1986m	664.27	668.42	Ваш первый приезд вы напились вот это то / о чем ты рассказывал / в зашкварных историях ? //
text@nr1986m	@nr1986m	735.56	742.85	Я прям представляю как в этих домах / вот г... с где Пикачу нарисован на стенах / сидят люди и жалятся себе в / веняки //
text@nr1986m	@nr1986m	757.85	759.23	Тут есть / твое граффити ? //
text@nr1986m	@nr1986m	767.03	768.24	Ты просто тэгал Кэш ? //
text@nr1986m	@nr1986m	771.31	772.27	Как ты себя называл ? //
text@nr1986m	@nr1986m	780.765	781.805	Да / да-да //
text@nr1986m	@nr1986m	806.576	812.622	Мне кажется / знаешь / было бы / короче / офигенно... офигенный коллаб / ты / Киркоров и Чарли ЭксСиИкс //
text@nr1986m	@nr1986m	894.077	895.055	Серьезно ? ! //
text@nr1986m	@nr1986m	911.4	912.489	#смех#
text@nr1986m	@nr1986m	926.977	928.099	Даже травку не курил ? //
text@nr1986m	@nr1986m	947.97	949.825	Ну да / погнали //
text@nr1986m	@nr1986m	964.49	966.69	А родители / не были злыми на тебя за это ? //
text@nr1986m	@nr1986m	998.615	1000.205	Респект улиц ты получил //
text@nr1986m	@nr1986m	1000.21	1006.62	А скажи / ты рассказывал в интервью что ты работал на подтанцовке у каких-то местных шансон-исполнителей ? //
text@vt1986m	@vt1986m	653.93	655.73	Как случилось ваше знакомство с Ильичом ? //
text@vt1986m	@vt1986m	669.095	671.845	А ты реально не понял... не помнил как ты добрался до дома ? //
text@vt1986m	@vt1986m	682.195	684.8	Ну получается наверное пили всю ночь / за знакомство //
text@vt1986m	@vt1986m	706.93	707.37	Скока ? //
text@vt1986m	@vt1986m	711.48	714.3	Реально очень жутко выглядит / похоже / на Silent Hill какой-то //
text@vt1986m	@vt1986m	729.47	734.33	Тут / прям / продавали героин / сидели барыги / и приезжали толпы местных наркоманов ? //
text@vt1986m	@vt1986m	745.04	746.6	Ты жил / в одном из этих домов ? //
text@vt1986m	@vt1986m	782.865	788.78	В перерывах между играми смотрел / а / клипы Киркорова / выступления там / Куклачева //
text@vt1986m	@vt1986m	792.227	794.747	С ружьем такой / #нрзб# / #смех# //
text@vt1986m	@vt1986m	801.437	802.387	Ты бы заколлабился ? //
text@vt1986m	@vt1986m	816.812	819.823	Расскажи о своей семье / чем занимались твои родители ? //
text@vt1986m	@vt1986m	826.783	828.727	Легко ли они приняли твой выбор ? //
text@vt1986m	@vt1986m	829.674	837.9	Мне интересно просто / например твоя мама смотрит клип где из вагины твое лицо / и она не говорила тебе / Томми ну / ну //
text@vt1986m	@vt1986m	853.621	857.133	У тебя были в детстве случаи когда прям до тебя / торчки / докапывались? //
text@vt1986m	@vt1986m	883.576	888.099	Как у нас говорили на районе / ааа / если найду ебало бью #смех# //
text@vt1986m	@vt1986m	910.427	912.444	На другое например #смех# //
text@vt1986m	@vt1986m	912.72	913.364	На героин //
text@vt1986m	@vt1986m	917.233	919.756	Тебя вот тема наркотиков никогда не касалась ? //
text@vt1986m	@vt1986m	921.321	922.888	То есть как-то / удержался ? //
text@vt1986m	@vt1986m	940.894	943.594	Ну я как неженатый человек вот без секса живу //
text@vt1986m	@vt1986m	947.97	949.825	Ну дай / кулачок тогда //
text@vt1986m	@vt1986m	954.29	954.84	Почему ? //
text@vt1986m	@vt1986m	957.54	958.96	Положил болт на учебу ? //
text@vt1986m	@vt1986m	959.845	960.715	Почему ? //
text@vt1986m	@vt1986m	967.27	968.67	#смех#
text@vt1986m	@vt1986m	975.415	976.715	А это была старшая подруга ? //
text@vt1986m	@vt1986m	981.17	983.37	Как ты ее смог / захомутать ? //
text@vt1986m	@vt1986m	985.85	987.66	А / ты уже тогда преподавал ? //
